id;datum;duzina;sirina;steta;vozila;opis
1218846;03.06.2018,14:00;20,52174;44,7958;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom – bilo sa leve ili sa desne strane kolovoza
1218884;03.06.2018,09:40;20,36684;44,80385;Sa povredjenim;SN SA PEŠACIMA;Pešak – ostale situacije
1218885;03.06.2018,14:45;20,39237;44,85303;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1220795;03.06.2018,09:25;20,53694;44,79385;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1220796;03.06.2018,13:50;20,53866;44,81652;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u suprotnim smerovima uz skretanje ulevo ispred drugog vozila
1218683;03.06.2018,08:15;20,49172;44,7745;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom – bilo sa leve ili sa desne strane kolovoza
1218896;03.06.2018,13:50;20,50451;44,78301;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1218921;03.06.2018,00:15;20,440923;44,788497;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja
1218742;03.06.2018,19:15;20,28892;44,81985;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja
1218699;03.06.2018,13:30;20,54321;44,73634;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1218765;03.06.2018,18:50;20,359968;44,807655;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila
1218801;03.06.2018,22:45;20,751442;44,575154;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Ostali sudari sa najmanje dva vozila koja se kreæu u istom smeru – ostalo
1218692;03.06.2018,07:45;20,41652;44,83821;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila – èeoni sudar
1218890;03.06.2018,14:00;20,48201;44,81347;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1218691;03.06.2018,09:50;20,49304;44,71988;Sa mat.stetom;SN SA JEDNIM VOZILOM;Nezgode sa uèešæem jednog vozila i preprekama na ili iznad kolovoza
1218760;03.06.2018,21:30;20,51717;44,7167;Sa mat.stetom;SN SA JEDNIM VOZILOM;Nezgoda sa jednim vozilom – silazak ulevo sa kolovoza na pravcu
1219230;03.06.2018,07:45;20,44941;44,79859;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u istom smeru uz skretanje, skretanje udesno ispred drugog vozila
1218723;03.06.2018,08:50;20,51833;44,88567;Sa poginulim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja
1218737;03.06.2018,20:00;20,466935;44,798888;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1218874;03.06.2018,11:50;20,37669;44,81753;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Ostali sudari sa najmanje dva vozila koja se kreæu u istom smeru – ostalo
1221178;03.06.2018,15:10;20,45223;44,5903;Sa mat.stetom;SN SA JEDNIM VOZILOM;Nezgoda sa jednim vozilom – silazak udesno sa kolovoza na pravcu
1221183;03.06.2018,18:40;20,38867;44,82226;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja
1218725;03.06.2018,17:30;20,500785;44,765676;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa leve strane kolovoza
1219641;03.06.2018,14:00;20,49117;44,78297;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja
1218809;04.06.2018,07:30;20,442974;44,780901;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila – èeoni sudar
1218865;04.06.2018,15:10;20,37227;44,81501;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom – bilo sa leve ili sa desne strane kolovoza
1219231;04.06.2018,07:25;20,40014;44,60186;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Ostale nezgode sa najmanje dva vozila – suprotni smerovi bez skretanja
1219102;04.06.2018,15:50;20,523856;44,780665;Sa povredjenim;SN SA PEŠACIMA;Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila
1218866;04.06.2018,14:25;20,46494;44,78778;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz skretanje udesno ispred vozila koje nailazi sleva
1221523;04.06.2018,11:00;20,39237;44,82522;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1218809;04.06.2018,07:30;20,442974;44,780901;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1218860;04.06.2018,14:45;20,475058;44,819461;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u istom smeru uz skretanje, skretanje udesno ispred drugog vozila
1219800;04.06.2018,12:55;20,484644;44,771336;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz skretanje ulevo i uz nailazak vozila sleva
